dataset,item_id,stratum,gold_answer,raw_response,prediction,em,f1,exact_raw
squad,3292,short-infer,bằng cách điều khiển cường độ ánh sáng điểm ảnh riêng lẻ,bằng cách điều khiển cường độ ánh sáng điểm ảnh riêng lẻ,bằng cách điều khiển cường độ ánh sáng điểm ảnh riêng lẻ,1,1.000000,1
squad,3300,long-direct,15 tháng 1 năm 1128,15 tháng 1 năm 1128,15 tháng 1 năm 1128,1,1.000000,1
drop,30,count,13,13,13,1,1.000000,1
drop,60,count,8,8,8,1,1.000000,1
drop,138,selection,"2,60","2,60","2,60",1,1.000000,1
drop,174,comparison,"11,60% (nhóm từ 18 đến 24)","11,60%","11,60%",0,0.387097,0
drop,193,add_sub,477.000 người,1.320.000 người,1.320.000 người,0,0.714286,0
drop,200,selection,63.664,63.664,63.664,1,1.000000,1
drop,253,add_sub,5.864,5.864,5.864,1,1.000000,1
drop,273,count,4,4,4,1,1.000000,1
drop,301,comparison,thấp hơn,cao,cao,0,0.000000,0
drop,316,comparison,nhiều hơn,nhiều hơn,nhiều hơn,1,1.000000,1
drop,357,selection,"4,8%","4,8%","4,8%",1,1.000000,1
drop,385,comparison,José Altafini,José Altafini,José Altafini,1,1.000000,1
drop,420,selection,"5,12%","5,12%","5,12%",1,1.000000,1
drop,444,add_sub,≈234.987,213.427,213.427,0,0.666667,0
drop,514,selection,3 kênh,3 kênh,3 kênh,1,1.000000,1
drop,583,comparison,"Phòng không có 4 tiểu đoàn (13, 27, 31, 615), nhiều hơn Thiết giáp chỉ có 2 tiểu đoàn (13, 43)",Phòng không: 4; Thiết giáp: 2,Phòng không: 4; Thiết giáp: 2,0,0.426230,0
drop,713,comparison,1952,1952,1952,1,1.000000,1
drop,726,selection,nhỏ hơn,nhỏ hơn,nhỏ hơn,1,1.000000,1
drop,939,count,9,8,8,0,0.000000,0
drop,980,comparison,ngành xây dựng,ngành xây dựng,ngành xây dựng,1,1.000000,1
drop,989,add_sub,19-31 cm,15-25 cm,15-25 cm,0,0.625000,0
drop,1039,add_sub,"50,25%","50,25%","50,25%",1,1.000000,1
drop,1105,count,"Bằng nhau, mỗi quân đoàn có 3 sư đoàn",Cả hai đều có 3 sư đoàn,Cả hai đều có 3 sư đoàn,0,0.666667,0
drop,1137,count,5,5 chiếc,5 chiếc,0,0.250000,0
drop,1288,comparison,"Lớn nhất: xã Đa Lộc (714,8 ha); nhỏ nhất: xã Nguyệt Hóa (187,13 ha)",Đa Lộc; Nguyệt Hóa,Đa Lộc; Nguyệt Hóa,0,0.428571,0
drop,1435,comparison,Liverpool,Liverpool,Liverpool,1,1.000000,1
drop,1467,comparison,SF-2U,SF-2U,SF-2U,1,1.000000,1
drop,1495,comparison,quận Carcassonne,quận Carcassonne,quận Carcassonne,1,1.000000,1
drop,1512,count,2,2,2,1,1.000000,1
drop,1573,comparison,tàu phóng lôi và tuần tiễu,tàu phóng lôi và tuần tiễu,tàu phóng lôi và tuần tiễu,1,1.000000,1
drop,1598,count,4,4,4,1,1.000000,1
drop,1646,count,9,9,9,1,1.000000,1
drop,1652,count,10,10,10,1,1.000000,1
drop,1689,count,13,13,13,1,1.000000,1
drop,1699,add_sub,70,70 người,70 người,0,0.400000,0
drop,1706,add_sub,44.789,"44,789","44,789",1,0.833333,0
drop,1723,count,Năm,Bốn,Bốn,0,0.333333,0
drop,1753,comparison,2,2,2,1,1.000000,1
drop,1865,comparison,2013,năm 2013,năm 2013,0,0.666667,0
drop,1870,add_sub,553 ca tử vong,553,553,0,0.352941,0
drop,1962,count,9,1,1,0,0.000000,0
drop,1986,comparison,người da trắng,người da trắng,người da trắng,1,1.000000,1
drop,2052,add_sub,49.000,49.000 ca,49.000 ca,0,0.800000,0
drop,2166,selection,1,1,1,1,1.000000,1
drop,2183,add_sub,"0,40%","0,4%","0,4%",1,0.888889,0
drop,2216,count,2,"1,9 triệu bản","1,9 triệu bản",0,0.000000,0
drop,2270,selection,5 chiếc,5 chiếc,5 chiếc,1,1.000000,1
drop,2276,selection,Hải Dương,Hải Dương,Hải Dương,1,1.000000,1
drop,2295,comparison,Cỡ gia đình trung bình,cỡ gia đình trung bình,cỡ gia đình trung bình,1,1.000000,1
drop,2331,count,4,4,4,1,1.000000,1
drop,2395,add_sub,700.000 đơn vị,700.000,700.000,0,0.666667,0
drop,2430,comparison,cao hơn,cao hơn,cao hơn,1,1.000000,1
drop,2462,add_sub,"6,01 USD","6,01 USD","6,01 USD",1,1.000000,1
drop,2522,selection,"20,9%","20,9%","20,9%",1,1.000000,1
drop,2531,selection,5.068,5.068,5.068,1,1.000000,1
drop,2662,add_sub,40,35 quả,35 quả,0,0.000000,0
drop,2701,comparison,"nhóm dưới 18 tuổi (27,00%)",25-44,25-44,0,0.066667,0
drop,2741,count,17,1,1,0,0.666667,0
drop,2837,selection,255.984,255.984 phiếu,255.984 phiếu,0,0.700000,0
drop,2989,comparison,Zulu,Zulu,Zulu,1,1.000000,1
drop,3008,add_sub,"31,4%","31,44%","31,44%",0,0.909091,0
drop,3051,count,3,5,5,0,0.000000,0
drop,3069,comparison,Iran,Iran,Iran,1,1.000000,1
drop,3101,selection,66%,66%,66%,1,1.000000,1
drop,3166,comparison,thị trấn Vân Du,thị trấn Vân Du,thị trấn Vân Du,1,1.000000,1
drop,3174,comparison,Không,Không,Không,1,1.000000,1
drop,3224,selection,Mauro Tassotti,Mauro Tassotti,Mauro Tassotti,1,1.000000,1
drop,3298,add_sub,150,150 km/h,150 km/h,0,0.545455,0
drop,3355,comparison,lớn hơn,lớn hơn,lớn hơn,1,1.000000,1
drop,3394,selection,31.381,16945,16945,0,0.181818,0
drop,3411,add_sub,6,6,6,1,1.000000,1
drop,3415,comparison,Phần 1,Phần 1,Phần 1,1,1.000000,1
drop,3493,count,Ba,2,2,0,0.000000,0
drop,3520,add_sub,44,44,44,1,1.000000,1
drop,3815,add_sub,"Quận Limoux, giảm 758 người","Quận Limoux, 758 người","Quận Limoux, 758 người",0,0.897959,0
drop,3916,comparison,25-44,"27,80%","27,80%",0,0.181818,0
drop,3964,selection,351,351 ca,351 ca,0,0.666667,0
drop,4022,add_sub,"4,8","4,80%","4,80%",1,0.750000,0
drop,4026,other,1.000 afghani,1.000,1.000,0,0.555556,0
drop,4091,add_sub,"9.060,05 ha","9.060,05 ha","9.060,05 ha",1,1.000000,1
drop,4112,count,Một,Klin,Klin,0,0.000000,0
drop,4199,selection,1920,1920,1920,1,1.000000,1
drop,4229,add_sub,nhiều,nhiều,nhiều,1,1.000000,1
drop,4262,comparison,18 đến 24,"9,10%","9,10%",0,0.142857,0
drop,4365,add_sub,"1,2","1,2%","1,2%",1,0.857143,0
drop,4402,selection,"0,48%","0,48%","0,48%",1,1.000000,1
drop,4408,comparison,Không,Không,Không,1,1.000000,1
drop,4498,comparison,Nhóm 25 đến 44 tuổi,32 năm,32 năm,0,0.320000,0
drop,4531,other,cao hơn,thấp hơn,thấp hơn,0,0.533333,0
drop,4566,comparison,từ 25 đến 44,từ 25 đến 44,từ 25 đến 44,1,1.000000,1
drop,4574,count,1,tập đoàn quân xe tăng 4,tập đoàn quân xe tăng 4,0,0.000000,0
drop,4598,add_sub,"0,61","0,61","0,61",1,1.000000,1
drop,4622,count,5,5,5,1,1.000000,1
drop,4697,add_sub,846,846,846,1,1.000000,1
drop,4698,selection,"9,5%","9,5%","9,5%",1,1.000000,1
drop,4724,count,4,4,4,1,1.000000,1
drop,4797,add_sub,48.331,48.331,48.331,1,1.000000,1
drop,4857,add_sub,52,15,15,0,0.500000,0
drop,5039,add_sub,"""Vai trò quân sự của các ống kính Frankish - đánh giá lại"" (75-116, 41 trang)","""Vai trò quân sự của các ống kính Frankish - đánh giá lại""","""Vai trò quân sự của các ống kính Frankish - đánh giá lại""",0,0.854962,0
drop,5057,selection,"49,53%","49,53%","49,53%",1,1.000000,1
drop,5135,comparison,hành tinh b,hành tinh b,hành tinh b,1,1.000000,1
drop,5164,add_sub,Có,Có,Có,1,1.000000,1
drop,5179,count,4,4,4,1,1.000000,1
drop,5218,selection,Ngày 12 tháng 5 năm 2010,12 tháng 5 năm 2010,12 tháng 5 năm 2010,0,0.883721,0
drop,5298,comparison,tăng dần,biến động lớn và có xu hướng tăng dần,biến động lớn và có xu hướng tăng dần,0,0.355556,0
drop,5336,count,5,4,4,0,0.000000,0
drop,5404,add_sub,"$1,100","$1,100","$1,100",1,1.000000,1
drop,5493,comparison,tỷ lệ tăng kim ngạch xuất khẩu (202%),202%,202%,0,0.200000,0
drop,5511,count,861,861,861,1,1.000000,1
drop,5556,selection,"21,70%","21,70%","21,70%",1,1.000000,1
drop,5699,add_sub,13.352,13.352 người,13.352 người,0,0.666667,0
drop,5748,comparison,xã Thới Sơn,xã Thới Sơn,xã Thới Sơn,1,1.000000,1
drop,5761,add_sub,28,28,28,1,1.000000,1
drop,5868,selection,"12,88%","12,88%","12,88%",1,1.000000,1
drop,5954,count,"2 quân đoàn (61, 69) và 7 sư đoàn","Các quân đoàn 61, 69 và sư đoàn 63","Các quân đoàn 61, 69 và sư đoàn 63",0,0.865672,0
drop,5979,count,4,4,4,1,1.000000,1
drop,6002,comparison,"Hai tổ máy có công suất bằng nhau (đều 37,5 MW)",Không có tổ máy nào có công suất lớn hơn,Không có tổ máy nào có công suất lớn hơn,0,0.674419,0
drop,6073,add_sub,6 lần,6 lần,6 lần,1,1.000000,1
drop,6077,add_sub,"11,5 cm","khoảng 8 cm × 5 mm, không lông. Hạt hình trứng-thuôn dài, khoảng 6 × 2 mm, có mép; mào lông đầu hạt khoảng 3,5 cm","khoảng 8 cm × 5 mm, không lông. Hạt hình trứng-thuôn dài, khoảng 6 × 2 mm, có mép; mào lông đầu hạt khoảng 3,5 cm",0,0.083333,0
drop,6105,comparison,bọ nhảy,ve giáp,ve giáp,0,0.142857,0
drop,6124,selection,28 ngày,28 ngày,28 ngày,1,1.000000,1
drop,6133,add_sub,99,99,99,1,1.000000,1
drop,6207,comparison,Phương diện quân Kalinin,Phương diện quân Kalinin,Phương diện quân Kalinin,1,1.000000,1
drop,6283,add_sub,5,5 bàn thắng,5 bàn thắng,0,0.166667,0
drop,6314,add_sub,khoảng 12.968 người,"19,5%","19,5%",0,0.166667,0
drop,6383,add_sub,"2,57%","2,57%","2,57%",1,1.000000,1
drop,6454,count,Ba,Ba,Ba,1,1.000000,1
drop,6505,selection,"5,40%","5,40%","5,40%",1,1.000000,1
drop,6525,comparison,"dưới độ tuổi 18 (22,80%)",dưới độ tuổi 18,dưới độ tuổi 18,0,0.789474,0
drop,6527,comparison,Anh,Italy,Italy,0,0.250000,0
drop,6579,count,5,5,5,1,1.000000,1
drop,6593,add_sub,95.000,95.000 người,95.000 người,0,0.666667,0
drop,6607,add_sub,32.100,32.100 chiếc,32.100 chiếc,0,0.666667,0
drop,6643,add_sub,10,10,10,1,1.000000,1
drop,6755,count,1,2,2,0,0.000000,0
drop,6827,selection,"91,00","91,00","91,00",1,1.000000,1
drop,6890,add_sub,19.425,19.425,19.425,1,1.000000,1
drop,6977,selection,8,8 ghế,8 ghế,0,0.333333,0
drop,7017,other,500 thăng thóc,3 quan,3 quan,0,0.200000,0
drop,7048,add_sub,"89,4–99,5 kg","0,5-0,6 kg","0,5-0,6 kg",0,0.545455,0
drop,7054,selection,2.880,2.880,2.880,1,1.000000,1
drop,7055,comparison,Có,Có,Có,1,1.000000,1
drop,7110,count,3,3,3,1,1.000000,1
drop,7170,selection,Trung tá An ninh Nhà nước Isaak Ilyich Shapiro,Trung tá An ninh Nhà nước Isaak Ilyich Shapiro,Trung tá An ninh Nhà nước Isaak Ilyich Shapiro,1,1.000000,1
drop,7429,comparison,lớn hơn,lớn hơn,lớn hơn,1,1.000000,1
drop,7459,other,"27,1%",16.1%,16.1%,0,0.400000,0
drop,7511,selection,"3,15%","3,15%","3,15%",1,1.000000,1
drop,7531,selection,mạnh hơn hầu hết PC chạy Windows,mạnh hơn hầu hết PC chạy Windows,mạnh hơn hầu hết PC chạy Windows,1,1.000000,1
drop,7539,add_sub,44.153,4.153,4.153,0,0.909091,0
drop,7552,count,0,0,0,1,1.000000,1
drop,7581,selection,ngày 3 tháng 5 năm 1972,ngày 3 tháng 5 năm 1972,ngày 3 tháng 5 năm 1972,1,1.000000,1
drop,7624,count,5,6,6,0,0.000000,0
drop,7684,selection,422 ha diện tích tự nhiên và 4.178 người,422 ha diện tích tự nhiên và 4.178 người,422 ha diện tích tự nhiên và 4.178 người,1,1.000000,1
drop,7927,comparison,"Quận Ussel, 6.37%","Quận Ussel, 6.37%","Quận Ussel, 6.37%",1,1.000000,1
drop,7950,comparison,Huân chương Lenin,Huân chương Lenin,Huân chương Lenin,1,1.000000,1
drop,7970,add_sub,57.827,57.827 triệu đô-la Mỹ,57.827 triệu đô-la Mỹ,0,0.444444,0
drop,8021,comparison,Pháp,Pháp,Pháp,1,1.000000,1
drop,8024,count,6 người con,6 người con,6 người con,1,1.000000,1
drop,8068,add_sub,"39,32 điểm phần trăm","39,32%","39,32%",0,0.384615,0
drop,8087,comparison,"Cỡ gia đình trung bình (2,99 người) lớn hơn cỡ hộ trung bình (2,45 người)","2,45 người và 2,99 người","2,45 người và 2,99 người",0,0.458333,0
drop,8105,selection,Ngày 19 tháng 3 năm 1973,Ngày 19 tháng 3 năm 1973,Ngày 19 tháng 3 năm 1973,1,1.000000,1
drop,8213,add_sub,76,Không có thông tin,Không có thông tin,0,0.000000,0
drop,8224,comparison,Nigeria,Nigeria,Nigeria,1,1.000000,1
drop,8250,count,2,2,2,1,1.000000,1
drop,8257,add_sub,1601,1601,1601,1,1.000000,1
drop,8268,add_sub,20.281,20.281,20.281,1,1.000000,1
drop,8335,add_sub,"96,56%","96,56%","96,56%",1,1.000000,1
drop,8351,comparison,350.000 USD,350.000 USD,350.000 USD,1,1.000000,1
drop,8405,other,5,"5,4 đạn","5,4 đạn",0,0.250000,0
drop,8451,count,Một,2,2,0,0.000000,0
drop,8492,add_sub,29.963 người,"3.912 người (8.2%) tuổi từ 18 đến 24, 10.496 người (22.0%) tuổi từ 25 đến 44, 15","3.912 người (8.2%) tuổi từ 18 đến 24, 10.496 người (22.0%) tuổi từ 25 đến 44, 15",0,0.260870,0
drop,8704,comparison,Gent,Gent,Gent,1,1.000000,1
drop,8716,count,5,4 xã,4 xã,0,0.000000,0
drop,8750,add_sub,"48,1","54,4% - 6,3%","54,4% - 6,3%",0,0.250000,0
drop,8758,comparison,tiếng Anh,tiếng Anh,tiếng Anh,1,1.000000,1
drop,8786,add_sub,"44,3%","43,3%","43,3%",0,0.800000,0
drop,8889,selection,12.690 hộ,12.690 hộ,12.690 hộ,1,1.000000,1
drop,8891,count,9,10,10,0,0.000000,0
drop,8895,comparison,thấp hơn,cao hơn,cao hơn,0,0.533333,0
drop,8915,count,2 (Mỹ và Brazil),3,3,0,0.000000,0
drop,9044,comparison,Số ca nhiễm mới (53.584) cao hơn số ca tử vong mới (1.052),số ca nhiễm mới,số ca nhiễm mới,0,0.416667,0
drop,9046,count,4,5,5,0,0.000000,0
drop,9053,add_sub,vòng chung kết (4 ngày),từ khi ban hành điều lệ đến bốc thăm,từ khi ban hành điều lệ đến bốc thăm,0,0.482759,0
drop,9060,comparison,"Nhóm từ các chủng tộc khác (1,80%)",người Hispanic hoặc người Latin,người Hispanic hoặc người Latin,0,0.375000,0
drop,9061,comparison,Không,Không,Không,1,1.000000,1
drop,9062,selection,"0,13%","0,13%","0,13%",1,1.000000,1
drop,9134,selection,"6,002 triệu đồng/tháng","6,002 triệu đồng/tháng","6,002 triệu đồng/tháng",1,1.000000,1
drop,9209,comparison,Vào tháng 10 năm 2007,tháng 10 năm 2007,tháng 10 năm 2007,0,0.894737,0
drop,9213,comparison,Bộ Tư pháp,Bộ Tư pháp,Bộ Tư pháp,1,1.000000,1
drop,9295,other,"4,56","4,56","4,56",1,1.000000,1
drop,9318,selection,Một,1,1,0,0.000000,0
drop,9380,selection,69%,46% và 23%,46% và 23%,0,0.307692,0
drop,9489,comparison,Đoạn văn không nêu riêng số căn nhà 167 (chỉ gộp 'trên 6800 căn nhà tình thương và nhà 167') nên không xác định được chênh lệch với gần 1.000 căn nhà tình nghĩa,gần 1.000 căn nhà tình nghĩa; trên 6800 căn nhà tình thương và nhà 167,gần 1.000 căn nhà tình nghĩa; trên 6800 căn nhà tình thương và nhà 167,0,0.600000,0
drop,9689,selection,lá chét đầu cùng,lá chét đầu cùng,lá chét đầu cùng,1,1.000000,1
drop,9750,comparison,nhiều hơn,ít,ít,0,0.000000,0
drop,9893,comparison,người da đen hoặc người Mỹ gốc Phi,người da đen,người da đen,0,0.521739,0
drop,9902,add_sub,"24,9%","24,9%","24,9%",1,1.000000,1
drop,9928,selection,2.858,282.929,282.929,0,0.500000,0
drop,10001,add_sub,"24,10%","24,10%","24,10%",1,1.000000,1
drop,10085,other,"49,92%","5,99 USD","5,99 USD",0,0.428571,0
