dataset,item_id,stratum,question,context_words,raw_response
drop,989,add_sub,"Nếu cộng chiều dài trục cuống lá với chiều dài của cuống lá, tổng chiều dài này là bao nhiêu?",190,15-25 cm
drop,1039,add_sub,Tổng giá trị sản xuất giai đoạn 2016-2020 có bao nhiêu phần trăm tăng so với giai đoạn 2010-2015?,113,"50,25%"
drop,1105,count,"Quân đoàn bộ binh 6 so sánh với Quân đoàn bộ binh 43, quân đoàn nào có số sư đoàn đông hơn?",103,Cả hai đều có 3 sư đoàn
drop,1137,count,Tổng số máy bay ông đã bắn hạ là bao nhiêu?,172,5 chiếc
drop,1288,comparison,"""Xã nào có diện tích tự nhiên lớn nhất và nhỏ nhất trong số các xã được sáp nhập vào thị xã Trà Vinh?""",115,Đa Lộc; Nguyệt Hóa
drop,1435,comparison,"Giữa 2 đội bóng Liverpool và Manchester City, đội nào có tỷ số cao nhất trong một trận đấu mà không phân biệt sân nhà hay sân khách?",113,Liverpool
drop,1467,comparison,Tripolyphotphat natri có tỷ lệ cao hơn trong SF-2 hay SF-2U?,129,SF-2U
drop,1495,comparison,"Năm 1990, dân số của quận Carcassonne hay quận Limoux nhiều hơn?",104,quận Carcassonne
drop,1512,count,"Trước khi chuyển hợp phần BOT sang đầu tư công, có bao nhiêu dự án dự kiến thực hiện theo hình thức BOT?",116,2
drop,1573,comparison,Loại tàu nào có nhiều nhất trong lực lượng hải quân Syria?,135,tàu phóng lôi và tuần tiễu
drop,1598,count,Có tất cả bao nhiêu quốc gia được nhắc đến trong đoạn văn?,123,4
drop,1646,count,Có bao nhiêu sư đoàn bộ binh được liệt kê trong đoạn văn?,103,9
drop,1652,count,Có bao nhiêu loại tiền giấy được lưu hành từ năm 1925 đến năm 1993?,109,10
drop,1689,count,"Năm 1301, bộ Hộ có bao nhiêu chức vụ đã dược nhắc đến?",258,13
drop,1699,add_sub,Số lượng người nhiễm virus tăng thêm ghi nhận vào ngày 16 tháng 2 là bao nhiêu người?,158,70 người
drop,1706,add_sub,"Chu vi trung bình Trái Đất lớn hơn chu vi từ 2 cực bao nhiêu mét?_x000D_
_x000D_
",172,"44,789"
drop,1723,count,Có bao nhiêu ngôn ngữ được đề cập trong đoạn văn như được sử dụng tại gia đình?,113,Bốn
drop,1753,comparison,Có bao nhiêu phường mới được thành lập có diện tích tự nhiên dưới 500 ha?,121,2
drop,1865,comparison,"So sánh tỷ lệ tử vong mẹ liên quan đến sinh đẻ ở Mỹ ở  năm 2015 và năm 2013, thì năm nào cao hơn?",145,năm 2013
drop,1870,add_sub,Tính tổng số ca tử vong được báo cáo ghi nhận thêm ở Tây Ban Nha và Italy theo đoạn văn,113,553
drop,1962,count,Có bao nhiêu lễ hội được tổ chức trong tháng âm lịch?,130,1
drop,1986,comparison,"Trong các chủng tộc, loại nào có phần trăm người sống chung cao nhất?",119,người da trắng
drop,2052,add_sub,Sự khác biệt về số lượng ca mắc COVID-19 giữa Los Angeles và New York là bao nhiêu?,133,49.000 ca
drop,2166,selection,Có bao nhiêu máy bay không người lái đã bị ông bắn hạ?,172,1
drop,2183,add_sub,Tỷ lệ người Mỹ bản xứ ở quận nhiều hơn tỷ lệ người châu Á bao nhiêu phần trăm,122,"0,4%"
drop,2216,count,Có bao nhiêu phiên bản mở rộng cho Half-Life đã được bán ra vào tháng 12 năm 2008?,238,"1,9 triệu bản"
drop,2270,selection,"Trước năm 2006, nếu Aeroflot đã thuê 2 chiếc Boeing 767-300ER ,còn tính đến tháng 3 năm 2007 họ đã thuê bao nhiêu chiếc Boeing 767-300ER ?",145,5 chiếc
drop,2276,selection,"Từ ngày 18/3 đến ngày 31/3, tỉnh nào điều chỉnh biện pháp chống dịch, thực hiện giãn cách xã hội theo chỉ thị số 19?",105,Hải Dương
drop,2295,comparison,Cỡ hộ gia đình trung bình và cỡ gia đình trung bình cái nào lớn hơn?,144,cỡ gia đình trung bình
drop,2331,count,Tổng số bàn thắng mà Osako ghi được trong các trận đấu đã được nêu là bao nhiêu?,123,4
drop,2395,add_sub," Trong quý II năm 2013, số lượng đơn vị phần mềm bán ra ít hơn quý I bao nhiêu?

",161,700.000
drop,2430,comparison,diện tích tự nhiên ở thị xã Giá Rai cao hay thấp hơn ở phường 1 thuộc thị xã Giá Rai ?,102,cao hơn
drop,2462,add_sub,Giá thuê mỗi tập phim sau cùng đã giảm bao nhiêu so với giá ban đầu?,116,"6,01 USD"
drop,2522,selection,Có bao nhiêu phần trăm dân số Luân Đôn là người gốc Á và lai gốc Á?,151,"20,9%"
drop,2531,selection,"Trong các xã liên quan tới quá trình thành lập thị trấn An Dương, xã có số dân lớn nhất là bao nhiêu người?",121,5.068
drop,2662,add_sub,"Nếu một mái vịt Anh Đào đạt sản lượng trứng tối đa theo khảo sát, so với sản lượng trứng tối thiểu tại Việt Nam, số lượng trứng tăng thêm là bao nhiêu?",174,35 quả
drop,2701,comparison,Dân số ở độ tuổi nào có tỉ lệ cao nhất trong quận?,149,25-44
drop,2741,count,Bộ phận thiết giáp của Tập đoàn quân 21 có tổng cộng bao nhiêu đơn vị nếu tính cả lữ đoàn và trung đoàn?,175,1
drop,2837,selection,Ông đã trúng cử đại biểu Quốc hội Việt Nam với bao nhiêu phiếu?,104,255.984 phiếu
drop,2989,comparison,"So với các ngôn ngữ được dùng làm ngôn ngữ thứ hai tại gia đình, ngôn ngữ nào được chọn ít nhất?",113,Zulu
drop,3008,add_sub,"So với giá chỉ thân máy, giá của bộ kit 24-105 f/4L IS II tăng bao nhiêu phần trăm?",124,"31,44%"
drop,3051,count,Có bao nhiêu dữ liệu về trữ lượng dầu đã được chứng minh được cung cấp từ năm 2007 đến năm 2015?,128,5
drop,3069,comparison,Quốc gia nào có số ca tử vong cao nhất được nêu trong đoạn văn?,107,Iran
drop,3101,selection,"Tổng cộng, bao nhiêu phần trăm trực thăng của Lục quân Mỹ đã bị tổn thất trong chiến dịch nếu tính theo số lượng trực thăng được huy động?",160,66%
drop,3166,comparison,"Trước khi sáp nhập, đơn vị hành chính nào có dân số thấp nhất?",140,thị trấn Vân Du
drop,3174,comparison,tổng số người nói Tiếng Nga trên thế giới có vượt 300 triệu người hay không?,110,Không
drop,3224,selection,Ai là cầu thủ có ít sự xuất hiện nhất cho A.C. Milan trong số những người được nêu?,132,Mauro Tassotti
drop,3298,add_sub,Chênh lệch vận tốc giữa chuyến bay tạo kỷ lục thế giới 1000 km và chuyến bay 183 là bao nhiêu km/h?,139,150 km/h
drop,3355,comparison,"Năm 2019, thị trấn Phố Lu có diện tích lớn hơn hay nhỏ hơn xã Phố Lu?",128,lớn hơn
drop,3394,selection,Bao nhiêu hộ gia đình cư trú trong thành phố vào năm 2000?,104,16945
drop,3411,add_sub,"Nếu mỗi năm lại có thêm 1 tổ dân phố, thì đến năm 2025, Hương Sơn sẽ có tổng cộng bao nhiêu tổ dân phố tăng thêm?",110,6
drop,3415,comparison,"Khi so sánh ngày kết thúc của Phần 1 và Phần 2, phần nào kết thúc sớm hơn?",122,Phần 1
drop,3493,count,Tổng cộng bao nhiêu đô thị đã được tách ra từ Hemne?,144,2
drop,3520,add_sub,thứ hạng trong danh sách 100 người nổi tiếng của Forbes Trung Quốc năm 2019 và 2017 chênh lệch nhau bao nhiêu?,102,44
drop,3815,add_sub,Quận nào có sự giảm dân số trong khoảng thời gian từ năm 1990 đến 1999 và giảm bao nhiêu người?,104,"Quận Limoux, 758 người"
drop,3916,comparison,"Trong các nhóm tuổi, nhóm nào chiếm tỷ lệ cao nhất?",152,"27,80%"
drop,3964,selection,Số ca tử vong ở Pháp tăng lên  bao nhiêu ca so với ngày trước đó?,123,351 ca
drop,4022,add_sub,Số hộ không lập gia đình chiếm tỷ lệ lớn hơn số hộ gia đình đã được tạo ra từ các cá nhân bao nhiêu phần trăm?,140,"4,80%"
drop,4026,other,"Nếu so sánh mệnh giá tiền giấy 500 afghani và 1.000 afghani, mệnh giá nào lớn gấp đôi mệnh giá kia?",109,1.000
drop,4091,add_sub,Diện tích tổng cộng được điều chỉnh để thành lập xã Xuân Lao và xã Nặm Lịch là bao nhiêu?,130,"9.060,05 ha"
drop,4112,count,"Trong quá trình chiến đấu, Tập đoàn quân 30 đã giải phóng được bao nhiêu địa điểm?",138,Klin
drop,4199,selection,Murakumo Nichi'ei sống đến năm bao nhiêu?,96,1920
drop,4229,add_sub,"Chaves đã sống ít hay nhiều hơn 90 năm? 

",112,nhiều
drop,4262,comparison,"Trong các nhóm tuổi, nhóm nào có tỷ lệ thấp nhất?",168,"9,10%"
drop,4365,add_sub,"Theo Điều tra dân số Hoa Kỳ năm 2010, tỷ lệ người châu Á trong quận nhỏ hơn tỷ lệ người từ hai chủng tộc trở lên bao nhiêu phần trăm",148,"1,2%"
drop,4402,selection,Có bao nhiêu phần trăm dân số là người Hispanic hay Latino?,119,"0,48%"
drop,4408,comparison,Tỷ lệ thất nghiệp có cao hơn tỷ lệ người nước ngoài ở Mannheim vào năm 2005 không?,157,Không
drop,4498,comparison,Độ tuổi trung bình của dân cư trong thành phố so với nhóm tuổi nào gần nhất?,137,32 năm
drop,4531,other,"Số lượng thuyền ở Cơ Tiền trung bộ so với số lượng thuyền tổng cộng ở 4 đội Tiền thủy, Hậu thủy, Tả thủy, Hữu thủy cao hơn hay thấp hơn?",102,thấp hơn
drop,4566,comparison,Độ tuổi nào có tỉ lệ cao nhất trong phân bố độ tuổi của cư dân sinh sống trong huyện?,171,từ 25 đến 44
drop,4574,count,Bao nhiêu tập đoàn đã được tính toán tổn thất đến hết tháng 4 năm 1942?,149,tập đoàn quân xe tăng 4
drop,4598,add_sub,quy mô hộ trung bình và quy mô gia đình trung bình chênh lệch bao nhiêu?,152,"0,61"
drop,4622,count,"Hiện nay, xã Phú Hộ được chia thành bao nhiêu làng?",125,5
drop,4697,add_sub,Đường hạ cất cánh dài hơn đường lăn song song bao nhiêu mét?,101,846
drop,4698,selection,Số hộ có người sống một mình 65 tuổi trở lên là bao nhiêu phần trăm của tổng số hộ?,137,"9,5%"
drop,4724,count,Có bao nhiêu phân đoạn độc lập của kênh đào được mô tả từ lối vào cho đến mức chính của kênh đào?,120,4
drop,4797,add_sub,Italy có bao nhiêu ca tử vong ít hơn Mỹ?,121,48.331
drop,4857,add_sub,Chênh lệch diện tích giữa nền phía trước và bệ giữa là bao nhiêu mét vuông?,106,15
drop,5039,add_sub,Bài viết nào dài nhất theo số trang được đề cập?,122,"""Vai trò quân sự của các ống kính Frankish - đánh giá lại"""
drop,5057,selection,Tỉ lệ người da trắng trong quận này là bao nhiêu phần trăm?,135,"49,53%"
drop,5135,comparison,Trong 3 hành tinh quá cảnh được quan sát bởi tàu vũ trụ Kepler trong cuộc khảo sát K2 thì hành tinh b hay hành tinh c có khoảng thời gian ngắn hơn?,111,hành tinh b
drop,5164,add_sub,Nghị quyết 16/21 được ban hành gần với quyết định 17/119 hơn so với Nghị quyết 5/1 so với quyết định 6/102 hay không?,109,Có
drop,5179,count,Bao nhiêu quốc gia đã công bố số ca tử vong mới trong bản báo cáo?,123,4
drop,5218,selection,Chuyến bay 771 của Afriqiyah Airways đã rơi khi đang hạ cánh tại sân bay quốc tế Tripoli vào ngày tháng năm nào?,103,12 tháng 5 năm 2010
drop,5298,comparison,Sản lượng cá bạc má ở Bình Thuận năm 2005 có xu hướng thế nào so với năm 2003 và 2004?,168,biến động lớn và có xu hướng tăng dần
drop,5336,count,Có bao nhiêu câu lạc bộ địa phương đã từng chơi các trận đấu tại sân này?,164,4
drop,5404,add_sub,Giá bán khi chỉ mua thân máy và mua kèm kit 24-105 f/4L IS II chênh lệch bao nhiêu?,124,"$1,100"
drop,5493,comparison,"Giữa tỷ lệ tăng giá trị xuất khẩu và tỷ lệ tăng thu ngân sách, đâu là tỷ lệ tăng cao nhất so với năm trước?",174,202%
drop,5511,count,Số hiệu của sư đoàn không quân tiêm kích trong quân đoàn hỗn hợp 44 của Thượng tướng Pháo binh Maximilian de Angelis là bao nhiêu?,118,861
drop,5556,selection,Có bao nhiêu phần trăm hộ gồm các cá nhân?,171,"21,70%"
drop,5699,add_sub,Tổng dân số của thị trấn Cẩm Thủy và xã Cẩm Phong là bao nhiêu?,160,13.352 người
drop,5748,comparison,"So sánh diện tích tự nhiên của xã Thới Sơn và xã Phước Thạnh, xã nào có diện tích lớn hơn?",156,xã Thới Sơn
drop,5761,add_sub,Số lượng tàu container được đang đặt thêm nhiều hơn số lượng tàu được đặt thêm ở Dalian Yard (Trung Quốc) là bao nhiêu?,99,28
drop,5868,selection,Có bao nhiêu tỷ lệ phần trăm dân số thuộc về người Hispanic hay Latino?,118,"12,88%"
drop,5954,count,Bộ binh của Tập đoàn quân 21 bao gồm bao nhiêu quân đoàn và sư đoàn?,175,"Các quân đoàn 61, 69 và sư đoàn 63"
drop,5979,count,"Từ tháng 4 đến tháng 12 năm 1999, có bao nhiêu tháng là điểm thời gian mà các sự kiện quan trọng của tuyến đường sắt/tàu điện ngầm được ghi nhận?",115,4
drop,6002,comparison,"So sánh công suất của tổ máy tua bin khí được lắp đặt tại Thủ Đức trong tháng 2 năm 1992 với tổ máy tua bin khí được lắp đặt tại Nhà máy điện Bà Rịa trong tháng 1 năm 1993, tổ máy nào có công suất lớn hơn?",138,Không có tổ máy nào có công suất lớn hơn
drop,6073,add_sub,Tính tổng số lần được trao tặng Huân chương Cờ đỏ và Huân chương Suvorov?,105,6 lần
drop,6077,add_sub,Chiều dài tổng cộng của quả đại và mào lông đầu hạt là bao nhiêu?,182,"khoảng 8 cm × 5 mm, không lông. Hạt hình trứng-thuôn dài, khoảng 6 × 2 mm, có mép; mào lông đầu hạt khoảng 3,5 cm"
drop,6105,comparison,"So sánh số loài bọ nhảy và ve giáp, loài nào được ghi nhận ít hơn?",120,ve giáp
drop,6124,selection,Trứng vịt Anh Đào cần ấp trong bao nhiêu ngày?,174,28 ngày
drop,6133,add_sub,Tổng số trường hợp nhiễm virus vào ngày 17 tháng 2 đã tăng lên bao nhiêu ca so với tổng số trường hợp nhiễm virus vào ngày 16 tháng 2? ,158,99
drop,6207,comparison,Đại tướng G. K. Zhukov đảm nhận vị trí tư lệnh của phương diện quân nào trước khi Thượng tướng I. S. Koniev tiếp quản?,113,Phương diện quân Kalinin
drop,6283,add_sub,Công Phượng đã ghi tổng cộng bao nhiêu bàn thắng?,114,5 bàn thắng
drop,6314,add_sub,Sự chênh lệch về số lượng người giữa những người có tổ tiên là người Đức so với những người có tổ tiên là người Anh là bao nhiêu?,148,"19,5%"
drop,6383,add_sub,Tổng số phần trăm người thuộc chủng tộc khác và từ hai hoặc nhiều chủng tộc là bao nhiêu?,149,"2,57%"
drop,6454,count,Có bao nhiêu thử nghiệm close beta đã được tổ chức?,112,Ba
drop,6505,selection,Bao nhiêu phần trăm hộ gia đình có người sống một mình từ 65 tuổi trở lên?,139,"5,40%"
drop,6525,comparison,"So sánh tỷ lệ % dân số dưới độ tuổi 18 với tỷ lệ % dân số từ 65 tuổi trở lên, cái nào lớn hơn?",144,dưới độ tuổi 18
drop,6527,comparison,Quốc gia nào có số ca tử vong trong ngày cao nhất?,123,Italy
drop,6579,count,Có bao nhiêu làng được giới thiệu trong đoạn văn?,125,5
drop,6593,add_sub,Sự tăng số quân trong quân đội Quốc gia từ năm 1952 đến năm 1954 là bao nhiêu người?,137,95.000 người
drop,6607,add_sub,Số lượng Toyota Prius PHV bán ra ở Bắc Mỹ vượt quá tổng số bán ở châu Âu và các nước còn lại trên thế giới bao nhiêu chiếc?,153,32.100 chiếc
drop,6643,add_sub,"So với giai đoạn trước, số pháo phòng không Kiểu 96 trên lớp tàu khu trục Mutsuki tăng thêm bao nhiêu khẩu vào tháng 6 năm 1944?",103,10
drop,6755,count,Có bao nhiêu quyết định được đưa ra trong vòng 5 năm đầu tiên kể từ khi giải thưởng Lao động sáng tạo ra đời?,131,2
drop,6827,selection,Mỗi 100 nữ thì có bao nhiêu nam giới từ độ tuổi 18 trở lên?,159,"91,00"
drop,6890,add_sub,Tổng số đơn vị nhà ở và tổng số hộ gia đình cộng lại bằng bao nhiêu?,135,19.425
drop,6977,selection,Có bao nhiêu ghế Collins Diamond trong khoang hạng thương gia trên Airbus A321neo ACF?,112,8 ghế
drop,7017,other,Người dân sở hữu 5 mẫu ruộng phải chịu tổng tô thuế hàng năm là bao nhiêu thóc?,110,3 quan
drop,7048,add_sub,Khối lượng của một con lợn đen Lũng Pù lúc sơ sinh và được nuôi thịt đến 10-12 tháng tăng thêm bao nhiêu kg?,118,"0,5-0,6 kg"
drop,7054,selection,Số lượng hộ gia đình được tạo thành từ các cá nhân là bao nhiêu?,171,2.880
drop,7055,comparison,Bầu cử Đại biểu Quốc hội khoá XV ở Việt Nam có diễn ra sau ngày bắt đầu của cuộc thi Eurovision Song 2021 không?,109,Có
drop,7110,count,Có bao nhiêu Sư đoàn được nêu trong phần Phòng không?,122,3
drop,7170,selection,Thư ký trọng yếu cuối cùng phục vụ trong Hội nghị Đặc biệt là ai?,102,Trung tá An ninh Nhà nước Isaak Ilyich Shapiro
drop,7429,comparison,Ống tràng hoa có chiều dài lớn hơn hay nhỏ hơn chiều dài đài hoa?,346,lớn hơn
drop,7459,other,Mức chênh lệch giữa tỉ lệ phần trăm cư dân từ 25 đến 64 tuổi và tổng số phần trăm người dưới độ tuổi 18 là bao nhiêu?,171,16.1%
drop,7511,selection,Số người Hispanic hoặc người Latin thuộc bất cứ chủng tộc nào chiếm bao nhiêu phần trăm của tổng dân số?,135,"3,15%"
drop,7531,selection,Hiệu năng của Apple A12Z Bionic so với hầu hết PC chạy Windows thì như thế nào theo nhà sản xuất?,113,mạnh hơn hầu hết PC chạy Windows
drop,7539,add_sub,Quận Brive-la-Gaillarde của tỉnh Corrèze có số dân nhiều hơn số dân ở quận Tulle là bao nhiêu người vào năm 1999?,104,4.153
drop,7552,count,Có bao nhiêu sự kiện cải nhiệm chức vụ của Tiêu Tông diễn ra trước năm 511?,162,0
drop,7581,selection,Chỉ rõ ngày tháng năm Bắc Bình Định kết thúc?,100,ngày 3 tháng 5 năm 1972
drop,7624,count,Có bao nhiêu thông số trọng lượng khác nhau được nhắc đến cho tất cả các phiên bản của Ki-61?,158,6
drop,7684,selection,Diện tích tự nhiên và dân số của thị trấn Vân Du là bao nhiêu sau khi thành lập? ,140,422 ha diện tích tự nhiên và 4.178 người
drop,7927,comparison,"Quận nào có tỷ lệ tăng trưởng dân số cao nhất từ năm 1990 đến năm 1999, và tỷ lệ đó là bao nhiêu phần trăm?",104,"Quận Ussel, 6.37%"
drop,7950,comparison,"Huân chương nào được trao nhiều lần hơn, Huân chương Lenin hay Huân chương Cờ đỏ? ",105,Huân chương Lenin
drop,7970,add_sub,Tổng doanh thu trong 17 ngày lớn hơn bao nhiêu đô-la Mỹ so với doanh thu của tuần lễ thứ hai?,115,57.827 triệu đô-la Mỹ
drop,8021,comparison,Quốc gia nào là nguồn nhập khẩu lớn nhất của Trung Phi trong năm 2007?,123,Pháp
drop,8024,count,Có bao nhiêu người con được nhắc đến trong gia đình của Franz Heinrich von Waldersee?,175,6 người con
drop,8068,add_sub,"Trong 10 năm qua, từ năm 2009 đến năm 2019 tỷ lệ dân số tập trung ở khu vực thành thị nhiều hơn nông thôn bao nhiêu phần trăm?",146,"39,32%"
drop,8087,comparison,So sánh cỡ hộ trung bình và cỡ gia đình trung bình.,123,"2,45 người và 2,99 người"
drop,8105,selection,Tai nạn máy bay nào xảy ra đầu tiên trong năm 1973?,120,Ngày 19 tháng 3 năm 1973
drop,8213,add_sub,Tổng cộng có bao nhiêu nhà truyền giáo ở tất cả các khu vực thêo sô liệu từ đoạn văn?,102,Không có thông tin
drop,8224,comparison,Quốc tịch nào có số lượng thấp nhất trong số 5 nhóm ngoại kiều lớn nhất được ghi nhận ở Ireland năm 2011?,168,Nigeria
drop,8250,count,iPad Pro 2020 có mấy phiên bản theo kích thước màn hình?,113,2
drop,8257,add_sub,Tổng số lượt người tham dự trên các mùa giải từ 2013-14 đến 2018-19 là bao nhiêu?,101,1601
drop,8268,add_sub,Số hộ gia đình sinh sống trong quận này nhiều hơn bao nhiêu so với số gia đình?,135,20.281
drop,8335,add_sub,Tổng số phần trăm người da trắng và người Hispanic hay Latino thuộc một chủng tộc nào cộng lại là bao nhiêu phần trăm?,133,"96,56%"
drop,8351,comparison,"Trong hai mức giá cho thuê A320neos năm 2018, mức giá nào cao nhất?",120,350.000 USD
drop,8405,other,"Tấn công B-52 cần trung bình bao nhiêu quả đạn để bắn rơi một chiếc, dựa vào tổng số đạn đã bắn và số B-52 bị bắn rơi?",117,"5,4 đạn"
drop,8451,count,Có bao nhiêu loại kích thước được sử dụng để mô tả nhật báo khổ rộng trong đoạn văn?,118,2
drop,8492,add_sub,Nhóm tuổi từ 18 đến 64 có tổng cộng bao nhiêu người?,167,"3.912 người (8.2%) tuổi từ 18 đến 24, 10.496 người (22.0%) tuổi từ 25 đến 44, 15"
drop,8704,comparison,"So sánh tỷ số chiến thắng giữa hai trận, trước Gent và Košice, thì chiến thắng trước đội nào nhiều hơn?",112,Gent
drop,8716,count,Có bao nhiêu xã được tạo ra từ việc chia xã Sóc Sơn và điều chỉnh xã Sơn Kiên?,104,4 xã
drop,8750,add_sub,Phần trăm người gốc Đức cao hơn phần trăm người gốc Ailen bao nhiêu phần trăm?,164,"54,4% - 6,3%"
drop,8758,comparison,Ngôn ngữ nào được sử dụng nhiều nhất là ngôn ngữ đầu tiên của người dân quận vào năm 2000?,161,tiếng Anh
drop,8786,add_sub,"Tổng tỉ lệ phần trăm của người gốc Đức, Ailen, Anh và gốc Ý chiếm bao nhiêu phần trăm dân số theo điều tra năm 2000?",148,"43,3%"
drop,8889,selection,"Theo cuộc điều tra dân số năm 2000, số hộ sinh sống tại quận này là bao nhiêu?",135,12.690 hộ
drop,8891,count,"Nếu kết hợp tất cả các sư đoàn và trung đoàn , pháo tự hành, pháo chống tăng, trinh sát cơ giới, trung đoàn súng cối,tiểu đoàn súng cối và phòng không cận vệ của quân đoàn kỵ binh tổng số đơn vị sẽ là bao nhiêu?",111,10
drop,8895,comparison,"Số lượng nữ giới có độ tuổi 18 và lớn hơn so với số lượng nam giới tương ứng, tỉ lệ nam/nữ là cao hơn hay thấp hơn so với tỉ lệ tổng số nam/nữ?",169,cao hơn
drop,8915,count,Bao nhiêu quốc gia được nhắc đến trong đoạn văn này?,108,3
drop,9044,comparison,"Số ca tử vong mới của Mỹ so với số ca nhiễm mới vào ngày 5 tháng 9, con số nào cao hơn?",103,số ca nhiễm mới
drop,9046,count,Mertens ghi được bao nhiêu bàn thắng tính từ tháng 1 năm 2014 đến tháng 5 năm 2014?,129,5
drop,9053,add_sub,"Giai đoạn nào có thời gian ngắn nhất, từ khi ban hành điều lệ đến bốc thăm, lượt đi, lượt về, hay vòng chung kết?",130,từ khi ban hành điều lệ đến bốc thăm
drop,9060,comparison,"Trong các chủng tộc ngoài người da trắng và người da đen hoặc người Mỹ gốc Phi, cái nào có phần trăm cao nhất?",135,người Hispanic hoặc người Latin
drop,9061,comparison,"năm 2018, mật độ dân số thị trấn Vân Du có vượt 700 người/km2?",140,Không
drop,9062,selection,Tỷ lệ người châu Á so với tổng dân số là bao nhiêu phần trăm?,162,"0,13%"
drop,9134,selection,Thu nhập bình quân đầu người của Hà Nội năm 2021 là bao nhiêu?,168,"6,002 triệu đồng/tháng"
drop,9209,comparison,Trữ lượng dầu chứng minh thấp nhất là vào thời điểm nào?,128,tháng 10 năm 2007
drop,9213,comparison,"Số lượng tù nhân của Bộ Tư pháp so với Bộ Công an, bên nào có lượng giam giữ lớn nhất?",111,Bộ Tư pháp
drop,9295,other,Số lượng người chết vượt qua số lượng người mất tích bao nhiêu lần từ tháng 3 năm 1942 đến tháng 3 năm 1943?,149,"4,56"
drop,9318,selection,Có bao nhiêu trận mà Carlsen đã thua được đề cập trong đoạn văn?,145,1
drop,9380,selection,Tỉ lệ phần trăm của số máy bay một động cơ và máy bay đa động cơ tại sân bay vào thời điểm đó là bao nhiêu?,149,46% và 23%
drop,9489,comparison,Huyện đã xây dựng nhiều hơn nhà tình nghĩa hay nhà 167 cho người nghèo? Chênh lệch là bao nhiêu?,111,gần 1.000 căn nhà tình nghĩa; trên 6800 căn nhà tình thương và nhà 167
drop,9689,selection, Phần nào của cây có chiều dài tối đa lớn nhất theo mô tả? ,256,lá chét đầu cùng
drop,9750,comparison,Số lượng chiếc T-54 và T-55 được đưa vào biên chế năm 2003 ít hay nhiều hơn năm 2006?,220,ít
drop,9893,comparison,"Theo Điều tra dân số Hoa Kỳ năm 2010, tỷ lệ người châu Á hay người da đen trong quận cao hơn",148,người da đen
drop,9902,add_sub,Tính sự chênh lệch về phần trăm giữa dân số gốc Đức và gốc Na Uy theo điều tra năm 2000.,133,"24,9%"
drop,9928,selection,Số ca tử vong ở Mỹ vào ngày 3/12 là bao nhiêu ca?,127,282.929
drop,10001,add_sub,Chênh lệch tỉ lệ giữa số hộ dân có trẻ em dưới 18 tuổi sống chung với họ và hộ dân chỉ có đôi vợ chồng sống với nhau là bao nhiêu phần trăm?,146,"24,10%"
drop,10085,other,Giá thuê mỗi tập phim sau khi giảm còn bao nhiêu phần trăm so với giá gốc?,116,"5,99 USD"
