id,question,prompt,raw_response,answer
52-0067,Sản lượng sinh vật sơ cấp được tạo thành từ quá trình nào sau đây:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Sản lượng sinh vật sơ cấp được tạo thành từ quá trình nào sau đây:

A. Quang hợp
B. Hoá tổng hợp
C. Quang hợp và hoá tổng hợp của thực vật và một số loài nấm
D. Tổng hợp các chất hữu cơ
E. Quang hợp của sinh vật
Đáp án: ",A,A
52-0068,"Theo quan điểm sinh thái học, chu trình sinh-địa-hoá được định nghĩa là:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Theo quan điểm sinh thái học, chu trình sinh-địa-hoá được định nghĩa là:

A. Vòng tuần hoàn của vật chất trong vũ trụ
B. Vòng tuần hoàn của các nguyên tố hoá học
C. Vòng tuần hoàn của các nguyên tố hoá học từ môi trường ngoài đi vào cơ thể các sinh vật rồi lại đi ra ngoài môi trường
D. Vòng chuyển động khép kín của vật chất
E. Vòng chuyển hoá của các nguyên tố hoá trong trong vũ trụ
Đáp án: ",C,C
52-0069,Về mặt động lực diễn thế được chia ra thành: (tìm một ý kiến đúng),"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Về mặt động lực diễn thế được chia ra thành: (tìm một ý kiến đúng)

A. Diễn thế tự dưỡng
B. Tự diễn thế và ngoại diễn thế
C. Diễn thế nguyên sinh
D. Diễn thế thứ sinh
E. Diễn thế dị dưỡng
Đáp án: ",B,B
52-0072,Xu hướng giải quyết vấn đề lương thực thực phẩm hiện nay là,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Xu hướng giải quyết vấn đề lương thực thực phẩm hiện nay là

A. Tăng cường phân bón hóa học
B. Lai ghép cây
C. Tăng sản lượng lương thực
D. Tăng diện tích đất canh tác
E. Cấy ghép gen
Đáp án: ",E,E
52-0073,Xu hướng giải quyết vấn đề lương thực thực phẩm hiện nay là,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Xu hướng giải quyết vấn đề lương thực thực phẩm hiện nay là

A. Tăng cường phân bón hóa học
B. Lai ghép cây
C. Tăng sản lượng lương thực
D. Tạo giống mới năng suất cao
E. Cấy ghép gen
Đáp án: ",D,D
52-0074,Nội dung của cách mạng xanh,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nội dung của cách mạng xanh

A. Tăng cường phân bón hóa học
B. Lai ghép cây
C. Tăng sản lượng lương thực
D. Sử dụng tổ hợp các biện pháp kỹ thuật
E. Cấy ghép gen
Đáp án: ",D,D
52-0075,Nội dung của cách mạng xanh,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nội dung của cách mạng xanh

A. Tăng cường phân bón hóa học
B. Lai ghép cây
C. Tăng sản lượng lương thực
D. Tăng khai thác biển
E. Cấy ghép gen
Đáp án: ",C,C
52-0076,Những đặc trưng của nền nông nghiệp hiện đại là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Những đặc trưng của nền nông nghiệp hiện đại là:

A. Phân bón hóa học
B. Lai ghép cây
C. Tăng sản lượng lương thực
D. Tăng đất canh tác
E. Cấy ghép gen
Đáp án: ",E,E
52-0077,Những đặc trưng của nền nông nghiệp hiện đại là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Những đặc trưng của nền nông nghiệp hiện đại là:

A. Hệ thống thủy lợi
B. Lai ghép cây
C. Tăng sản lượng lương thực
D. Tăng đất canh tác
E. Cấy ghép gen
Đáp án: ",E,E
52-0078,Những đặc trưng của nền nông nghiệp hiện đại là,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Những đặc trưng của nền nông nghiệp hiện đại là

A. Lai ghép cây
B. Cơ giới hóa trong nông nghiệp
C. Tăng sản lượng lương thực
D. Tăng đất canh tác
E. Cấy ghép gen
Đáp án: ",B,B
52-0079,Những đặc trưng của nền nông nghiệp hiện đại là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Những đặc trưng của nền nông nghiệp hiện đại là:

A. Cấy ghép gen
B. Lai ghép cây
C. Tăng sản lượng lương thực
D. Tăng đất canh tác
E. Các chất phụ gia hóa học trong thực phẩm
Đáp án: ",A,A
52-0080,Hiện nay hóa chất bảo vệ thực vật được sử dụng phổ biến là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Hiện nay hóa chất bảo vệ thực vật được sử dụng phổ biến là:

A. Hợp chất vô cơ
B. Clo Hữu cơ
C. Lân hữu cơ
D. Carbamat
E. Pyrethroid
Đáp án: ",E,E
52-0081,Đối tượng nào sau đây có thể bị nhiễm độc HCBVTV:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Đối tượng nào sau đây có thể bị nhiễm độc HCBVTV:

A. Trẻ em
B. Phụ nữ
C. Người già
D. Người nông dân phun thuốc
E. Tất cả mọi người
Đáp án: ",E,E
52-0082,Hóa chất bảo vệ thực vật có thể xâm nhập vào cơ thể qua :,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Hóa chất bảo vệ thực vật có thể xâm nhập vào cơ thể qua :

A. Da
B. Hô hấp
C. Tiêu hóa
D. Niêm mạc mắt
E. Tất cả các đường
Đáp án: ",E,E
52-0083,"Trong tiếp xúc nghề nghiệp với hóa chất bảo vệ thực vật, nhóm quan trọng nhất đối với tiếp xúc HCBVTV mạn tính và ngộ độc là:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Trong tiếp xúc nghề nghiệp với hóa chất bảo vệ thực vật, nhóm quan trọng nhất đối với tiếp xúc HCBVTV mạn tính và ngộ độc là:

A. Công nhân nông trường
B. Nông dân canh tác mùa vụ
C. Người phun thuốc trong các chương trình y tế
D. Người tiêu thụ thực phẩm, nước uống bị ô nhiễm
E. Người buôn bán hóa chất
Đáp án: ",A,A
52-0084,Biện pháp kiểm soát sâu bệnh,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Biện pháp kiểm soát sâu bệnh

A. Dùng kẻ thù tự nhiên
B. Phun hóa chất
C. Dùng bẫy
D. Dùng đèn
E. Tạo giống cây mới
Đáp án: ",A,A
52-0085,Biện pháp kiểm soát sâu bệnh,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Biện pháp kiểm soát sâu bệnh

A. Phun hóa chất
B. Biện pháp kỹ thuật làm mất khả năng sinh sản
C. Dùng bẫy
D. Dùng đèn
E. Tạo giống cây mới
Đáp án: ",B,B
52-0086,Biện pháp kiểm soát sâu bệnh,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Biện pháp kiểm soát sâu bệnh

A. Dùng bẫy
B. Phun hóa chất
C. Kiểm soát bằng hóc môn
D. Dùng đèn
E. Tạo giống cây mới
Đáp án: ",C,C
52-0087,Biện pháp kiểm soát sâu bệnh,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Biện pháp kiểm soát sâu bệnh

A. Dùng đèn
B. Phun hóa chất
C. Dùng bẫy
D. Tác động giới tính
E. Tạo giống cây mới
Đáp án: ",B,B
52-0088,Biện pháp kiểm soát sâu bệnh,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Biện pháp kiểm soát sâu bệnh

A. Tạo giống cây mới
B. Phun hóa chất
C. Dùng bẫy
D. Dùng đèn
E. Nâng cao sự kháng cự của nông sản
Đáp án: ",B,B
52-0089,Biện pháp kiểm soát sâu bệnh,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Biện pháp kiểm soát sâu bệnh

A. Dùng các biện pháp tổng hợp
B. Phun hóa chất
C. Dùng bẫy
D. Dùng đèn
E. Tạo giống cây mới
Đáp án: ",A,A
52-0090,Tăng sử dụng HCBVTV có nguy cơ:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tăng sử dụng HCBVTV có nguy cơ:

A. Làm chết sâu bệnh
B. Ô nhiễm không khí
C. Ô nhiễm môi trường
D. Sâu bệnh phát triển thêm
E. Cây trồng bị nhiễm HCBVTV
Đáp án: ",C,C
52-0091,Tăng sử dụng HCBVTV có nguy cơ:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tăng sử dụng HCBVTV có nguy cơ:

A. Làm chết sâu bệnh
B. Ô nhiễm thực phẩm
C. Sâu bệnh đề kháng thuốc
D. Sâu bệnh phát triển thêm
E. Cây trồng bị nhiễm HCBVTV
Đáp án: ",C,C
52-0092,Tăng sử dụng HCBVTV có nguy cơ:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tăng sử dụng HCBVTV có nguy cơ:

A. Làm chết sâu bệnh
B. Ô nhiễm không khí
C. Diệt các sinh vật có lợi
D. Sâu bệnh phát triển thêm
E. Cây trồng bị nhiễm HCBVTV
Đáp án: ",C,C
52-0093,Những HCBVTV đã bị cấm hoặc hạn chế sử dụng ở nước ta là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Những HCBVTV đã bị cấm hoặc hạn chế sử dụng ở nước ta là:

A. Monitor
B. Wofatox
C. DDT
D. 666
E. Các câu trên đều đúng
Đáp án: ",E,E
52-0094,Những người có nguy cơ nhiễm độc mạn tính HCBVTV do tiếp xúc lâu dài là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Những người có nguy cơ nhiễm độc mạn tính HCBVTV do tiếp xúc lâu dài là:

A. Công nhân nông trường
B. Nông dân canh tác mùa vụ
C. Người phun thuốc trong các chương trình y tế
D. Người tiêu thụ thực phẩm, nước uống bị ô nhiễm
E. Người bán hóa chất
Đáp án: ",C,C
52-0095,Dạng năng lượng thiên nhiên đầu tiên được loài người sử dụng là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Dạng năng lượng thiên nhiên đầu tiên được loài người sử dụng là:

A. Năng lượng mặt trời
B. Năng lượng gió
C. Năng lượng sinh khối
D. Năng lượng thuỷ triều
E. Năng lượng địa nhiệt
Đáp án: ",C,C
52-0096,Nguồn năng lượng được sử dụng nhiều nhất ở các nước đang phát triển là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nguồn năng lượng được sử dụng nhiều nhất ở các nước đang phát triển là:

A. Năng lượng thuỷ điện
B. Năng lượng sinh khối
C. Năng lượng từ than
D. Năng lượng từ dầu
E. Năng lượng mặt trời
Đáp án: ",B,B
52-0097,Nguồn năng lượng được sử dụng nhiều nhất ở các nước phát triển là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nguồn năng lượng được sử dụng nhiều nhất ở các nước phát triển là:

A. Năng lượng thuỷ điện
B. Năng lượng sinh khối thực vật
C. Năng lượng từ than
D. Năng lượng từ dầu
E. Năng lượng khí đốt
Đáp án: ",D,D
52-0098,Nguồn năng lượng nào sau đây sinh khí gây hiệu ứng nhà kính:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nguồn năng lượng nào sau đây sinh khí gây hiệu ứng nhà kính:

A. Năng lượng gió
B. Năng lượng thuỷ điện
C. Năng lượng địa nhiệt
D. Năng lượng hạt nhân
E. Năng lượng sinh khối
Đáp án: ",E,E
52-0099,Nguồn năng lượng nào sau đây được tái sinh từ nguồn gốc mặt trời (tìm một ý kiến sai):,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nguồn năng lượng nào sau đây được tái sinh từ nguồn gốc mặt trời (tìm một ý kiến sai):

A. Năng lượng sinh khối thực vật
B. Năng lượng gió
C. Năng lượng thuỷ triều
D. Năng lượng địa nhiệt
E. Năng lượng sóng biển
Đáp án: ",D,D
52-0100,"Trong mỏ than, chất khí nào gây nguy hiểm nhất:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Trong mỏ than, chất khí nào gây nguy hiểm nhất:

A. Khí CO
B. Khí CO_{2}
C. Khí SO_{2}
D. Khí CH_{4}
E. Khí NOx
Đáp án: ",D,D
52-0101,Trong quá trình khai thác than yếu tố nào sau đây gây ô nhiễm môi trường đáng quan tâm nhất:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Trong quá trình khai thác than yếu tố nào sau đây gây ô nhiễm môi trường đáng quan tâm nhất:

A. Khí SO_{2}
B. Khí CH_{4}
C. Bụi
D. Khí lưu huỳnh
E. Chất thải rắn
Đáp án: ",B,B
52-0102,"Những vấn đề gây ô nhiễm do khai thác, sử dụng dầu mỏ và khí đốt ở thềm lục địa và biển: (tìm một ý kiến sai)","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Những vấn đề gây ô nhiễm do khai thác, sử dụng dầu mỏ và khí đốt ở thềm lục địa và biển: (tìm một ý kiến sai)

A. Gây lún đất
B. Gây ô nhiễm biển
C. Gây ô nhiễm không khí, nước đất
D. Gây ô nhiễm bụi
E. Gây ô nhiễm kim loại phóng xạ
Đáp án: ",E,E
52-0103,Tác động tiêu cực tới môi trường do quá trình khai thác thuỷ điện: (tìm một ý kiến sai):,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tác động tiêu cực tới môi trường do quá trình khai thác thuỷ điện: (tìm một ý kiến sai):

A. Động đất cưỡng bức
B. Thay đổi thời tiết khí hậu khu vực
C. Thay đổi độ mặn của nước khu vực cửa sông ven biển
D. Mất đất canh tác
E. Ngăn chặn sự phát triển của quần xã thực vật
Đáp án: ",E,E
52-0104,Nhược điểm quan trọng của nguồn năng lượng hạt nhân:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nhược điểm quan trọng của nguồn năng lượng hạt nhân:

A. Nguyên liệu hiếm
B. Giá thành cao
C. Khó đảm bảo an toàn cho môi trường trong việc quản lý chất thải hạt nhân
D. Qui trình vận hành phức tạp
E. Dễ gây sự rò rỉ chất phóng xạ
Đáp án: ",C,C
52-0105,"Ưu điểm của nguồn năng lượng truyền thống (năng lượng gió, thuỷ triều) là:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Ưu điểm của nguồn năng lượng truyền thống (năng lượng gió, thuỷ triều) là:

A. Giá thành hạ
B. Dễ khai thác
C. Quá trình khai thác không gây ra các tác động tiêu cực tới môi trường
D. Hiệu suất chuyển hoá thành điện năng cao
E. Không tiêu tốn nguyên liệu
Đáp án: ",C,C
52-0106,Nhược điểm của nguồn năng lượng địa nhiệt là,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nhược điểm của nguồn năng lượng địa nhiệt là

A. Vốn đầu tư và giá thành điện năng cao
B. Hiệu suất chuyển hoá thành điện năng thấp
C. Dễ gây sự cố môi trường
D. Nguồn nguyên liệu hiếm
E. Qui trình vận hành phức tạp
Đáp án: ",A,A
52-0107,"Trong quá trình khai thác và sử dụng, hiện nay, dạng năng lượng nào đáng quan tâm nhất:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Trong quá trình khai thác và sử dụng, hiện nay, dạng năng lượng nào đáng quan tâm nhất:

A. Hoá thạch
B. Sinh khối
C. Hạt nhân
D. Địa nhiệt
E. Thuỷ điện
Đáp án: ",A,A
52-0108,Nguồn năng lượng nào sau đây không sinh khí gây hiệu ứng nhà kính:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nguồn năng lượng nào sau đây không sinh khí gây hiệu ứng nhà kính:

A. Năng hoá thạch
B. Năng lượng dầu
C. Năng lượng địa nhiệt
D. Năng lượng than đá
E. Năng lượng sinh khối
Đáp án: ",C,C
52-0109,Nguồn năng lượng nào sau đây được gọi là năng lượng tàn dư của trái đất:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nguồn năng lượng nào sau đây được gọi là năng lượng tàn dư của trái đất:

A. Năng lượng sinh khối thực vật
B. Năng lượng gió
C. Năng lượng thuỷ triều
D. Năng lượng địa nhiệt
E. Năng lượng sóng biển
Đáp án: ",D,D
52-0110,Nguồn năng lượng nào là dạng năng lượng sạch có tiềm năng lớn nhất trên trái đất:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nguồn năng lượng nào là dạng năng lượng sạch có tiềm năng lớn nhất trên trái đất:

A. Năng lượng hạt nhân
B. Năng lượng gió
C. Năng lượng thuỷ triều
D. Năng lượng địa nhiệt
E. Năng lượng sóng biển
Đáp án: ",C,C
52-0111,Nguồn năng lượng nào không gây ra các tác động tiêu cực đến môi trường trong quá trình khai thác:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nguồn năng lượng nào không gây ra các tác động tiêu cực đến môi trường trong quá trình khai thác:

A. Năng lượng hạt nhân
B. Năng lượng gió
C. Năng lượng thuỷ điện
D. Năng lượng sinh khối
E. Năng lượng khí đốt
Đáp án: ",B,B
52-0112,Các giải pháp năng lượng hiện nay hướng tới những mục tiêu cơ bản sau (tìm một ý kiến sai):,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Các giải pháp năng lượng hiện nay hướng tới những mục tiêu cơ bản sau (tìm một ý kiến sai):

A. Duy trì lâu dài nguồn năng lượng của trái đất
B. Hạn chế tối đa đến các tác động tiêu cực trong khai thác
C. Sử dụng hợp lý các nguồn năng lượng cho phát triển kinh tế, khoa học kỹ thuật;
D. Không tạo ra khí gây hiệu ứng nhà kính
E. Giảm giá thành trong sản xuất năng lượng
Đáp án: ",D,D
52-0113,"Nguồn năng lượng chủ yếu sử dụng trong công nghiệp, sinh hoạt là:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nguồn năng lượng chủ yếu sử dụng trong công nghiệp, sinh hoạt là:

A. Điện
B. Than
C. Dầu mỏ
D. Khí đốt
E. Sinh khối
Đáp án: ",A,A
52-0114,"Ở nông thôn, những người trong nhà chịu ảnh hưởng nhiều nhất của khói bụi bếp là:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Ở nông thôn, những người trong nhà chịu ảnh hưởng nhiều nhất của khói bụi bếp là:

A. Trẻ nhỏ
B. người già
C. Phụ nữ
D. Người lớn
E. Trẻ sơ sinh
Đáp án: ",C,C
52-0115,Các chất gây ô nhiễm môi trường do giao thông là: (tìm một ý kiến sai),"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Các chất gây ô nhiễm môi trường do giao thông là: (tìm một ý kiến sai)

A. Khí CO
B. SOx
C. NOx
D. Các hydrocacbon cháy không hoàn toàn
E. Bụi
Đáp án: ",B,B
52-0116,Hậu quả chính của ô nhiễm do giao thông lên sức khoẻ người là: (tìm một ý kiến sai),"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Hậu quả chính của ô nhiễm do giao thông lên sức khoẻ người là: (tìm một ý kiến sai)

A. Tăng tỷ lệ mắc các bệnh hô hấp
B. Tích luỹ kim loại độc
C. Ảnh hưởng lên sự phát triển trí tuệ trẻ em
D. Ảnh hưởng đến phụ nữ mang thai
E. ảnh hưởng đến sức khoẻ người già
Đáp án: ",A,A
52-0119,Tiêu chuẩn lượng nước cung cấp cho một người/ngày ở nông thôn nước ta là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tiêu chuẩn lượng nước cung cấp cho một người/ngày ở nông thôn nước ta là:

A. 10 lít
B. 60 lít
C. 20 lít
D. 40 lít
E. 10 lít
Đáp án: ",D,D
52-0120,Tính chất hoá học quan trọng nhất của nước mưa:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tính chất hoá học quan trọng nhất của nước mưa:

A. Hàm lượng muối khoáng thấp
B. pH < 7
C. Hàm lượng chất hữu cơ thấp
D. Không chứa hoá chất bảo vệ thực vật
E. Hàm lượng nitrat và photphat thấp
Đáp án: ",B,B
52-0121,Điểm khác biệt về chất lượng nước giữa nước mưa và nước bề mặt là: (tìm một ý kiến sai),"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Điểm khác biệt về chất lượng nước giữa nước mưa và nước bề mặt là: (tìm một ý kiến sai)

A. Ô nhiễm hoá chất bảo vệ thực vật
B. Hàm lượng chất hữu cơ
C. Ô nhiễm phân hoá học
D. Hàm lượng muối khoáng
E. Lượng Clo thừa
Đáp án: ",E,E
52-0122,Nước là tài nguyên có thể tái tạo nhờ yếu tố:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nước là tài nguyên có thể tái tạo nhờ yếu tố:

A. Nước có nhiệt độ bay hơi và ngưng tụ thấp
B. Năng lượng vô tận từ mặt trời
C. Chu trình trình thuỷ văn
D. Vòng tuần hoàn vật chất
E. Vòng tuần hoàn tự nhiên
Đáp án: ",C,C
52-0123,Tính chất vệ sinh quan trọng nhất của nước bề mặt là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tính chất vệ sinh quan trọng nhất của nước bề mặt là:

A. Nhiễm bẩn chất hữu cơ và vi sinh vật
B. Nhiễm bẩn hoá chất bảo vệ thực vật
C. Nhiễm bẩn phân bón vô cơ
D. pH > 7
E. Nhiễm bẩn dịch thể động vật
Đáp án: ",A,A
52-0124,Nhược điểm quan trọng nhất của nước ngầm là (tìm một ý kiến sai),"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nhược điểm quan trọng nhất của nước ngầm là (tìm một ý kiến sai)

A. Chứa nhiều sắt
B. Hàm lượng nitrat cao
C. Dễ bị nhiễm mặn ở các vùng gần biển
D. Hàm lượng fluor thấp
E. Khó khăn trong việc thăm dò và xử lý
Đáp án: ",D,D
52-0125,Độ đục của nước hình thành bởi: (tìm một ý kiến sai),"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Độ đục của nước hình thành bởi: (tìm một ý kiến sai)

A. Các chất hữu cơ
B. Các chất mùn
C. Chất sắt
D. Phù sa
E. Vi sinh vật
Đáp án: ",A,A
52-0126,Khi độ đục trong nước cao sẽ giảm hiệu lực khử trùng nước là do nguyên nhân nào sau đây,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Khi độ đục trong nước cao sẽ giảm hiệu lực khử trùng nước là do nguyên nhân nào sau đây

A. Độ đục hấp phụ kim loại nặng
B. Độ đục hấp phụ hoá chất độc
C. Tạo thành hàng rào vật lý không cho phép hoá chất khử trùng tiếp cận vi sinh vật
D. Độ đục ngăn cản bức xạ mặt trời
E. Độ đục giảm khả năng lan toả ánh sáng
Đáp án: ",C,C
52-0127,Đặc điểm quan trọng của độ đục đối với nước uống là: (tìm một ý kiến sai),"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Đặc điểm quan trọng của độ đục đối với nước uống là: (tìm một ý kiến sai)

A. Thể hiện tính chất hấp thụ và lan toả ánh sáng
B. Ngăn cản quá trình khử trùng
C. Hấp phụ hoá chất độc và kim loại nặng
D. Chất chỉ điểm cho sự nhiễm bẩn của nước
E. Nơi ẩn náu của vi sinh vật
Đáp án: ",A,A
52-0128,Mùi của nước là do những nguyên nhân sau tìm một ý kiến sai),"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Mùi của nước là do những nguyên nhân sau tìm một ý kiến sai)

A. Khí hoà tan trong nước như H_{2}S, Clor thừa
B. Thực vật bị thối rữa, phân hoá
C. Nhiễm chất sắt (Fe_{2}O_{3})
D. Nhiễm vi sinh vật
E. Xác động vật thối rữa
Đáp án: ",C,C
52-0129,"Khi nhiệt độ nước gia tăng, ảnh hưởng đến tính chất nào sau đây của nước:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Khi nhiệt độ nước gia tăng, ảnh hưởng đến tính chất nào sau đây của nước:

A. pH
B. Hàm lượng oxi hoà tan trong nước
C. BOD
D. Mùi vị của nước
E. Độ đục
Đáp án: ",B,B
52-0130,Yếu tố nào sau đây không ảnh hưởng đến nhiệt độ của nước:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Yếu tố nào sau đây không ảnh hưởng đến nhiệt độ của nước:

A. pH
B. Hàm lượng oxi hoà tan trong nước
C. Hiện tượng “nở hoa” do tảo phát triển
D. Khử trùng nước bằng Clo
E. Khử đục bằng phèn nhôm
Đáp án: ",A,A
